PM_INST_CMPL, IPC, CLUSTER_ID
23139394222.000000,0.589863,6
35418087743.000000,0.590015,5
31769773241.000000,0.592443,5
36785186967.000000,0.592245,5
36733857753.000000,0.591357,5
36644299471.000000,0.596763,5
36656889642.000000,0.595762,5
36536666693.000000,0.604491,5
35633825870.000000,0.562565,5
23605679776.000000,0.585254,6
23624310507.000000,0.591188,6
23340886608.000000,0.591012,6
22266951003.000000,0.587335,6
30560041922.000000,0.587590,5
35470425957.000000,0.591025,5
35450457880.000000,0.598328,5
35424754895.000000,0.597363,5
34285872806.000000,0.588701,5
35676346731.000000,0.592742,5
35298592433.000000,0.601594,5
34544699934.000000,0.557789,5
22751909555.000000,0.584818,6
22829160911.000000,0.594869,6
22699349896.000000,0.591330,6
22307666653.000000,0.587379,6
35371273649.000000,0.588917,5
34405425355.000000,0.586600,5
35445801487.000000,0.594771,5
35473105972.000000,0.591210,5
35462707584.000000,0.596274,5
35136760577.000000,0.598214,5
34496149014.000000,0.552567,5
22650610182.000000,0.579402,6
22781672693.000000,0.588366,6
22631208633.000000,0.589026,6
30529183212.000000,0.586370,5
23070404972.000000,0.581298,6
36560563903.000000,0.583858,5
31696768380.000000,0.584685,5
36512899944.000000,0.590888,5
35670304108.000000,0.585180,5
36608177288.000000,0.585717,5
36412027866.000000,0.591632,5
36348631758.000000,0.598372,5
35503538210.000000,0.559243,5
23545336810.000000,0.577096,6
23536513394.000000,0.583685,6
23339726913.000000,0.583647,6
22231642815.000000,0.588035,6
35405861243.000000,0.589806,5
35279436328.000000,0.595935,5
35198167650.000000,0.596980,5
35153381068.000000,0.600016,5
34606938829.000000,0.558577,5
22693204520.000000,0.581878,6
22774271543.000000,0.590511,6
22678777515.000000,0.588770,6
30475160032.000000,0.588699,5
34528766749.000000,0.590896,5
35549769177.000000,0.590657,5
22264682617.000000,0.587933,6
35198255863.000000,0.595671,5
35280828983.000000,0.603041,5
35259735714.000000,0.601666,5
35092272152.000000,0.604109,5
34568145720.000000,0.562346,5
22692172776.000000,0.586547,6
22651985977.000000,0.593585,6
22516909551.000000,0.591514,6
30411125600.000000,0.597361,5
34455122838.000000,0.598657,5
35330975899.000000,0.596665,5
23033158398.000000,0.584418,6
31576659155.000000,0.592534,5
35637025263.000000,0.599021,5
36452371620.000000,0.587531,5
36421886932.000000,0.586581,5
36384680609.000000,0.592709,5
36283498161.000000,0.593401,5
36242724329.000000,0.602185,5
35469067990.000000,0.562258,5
23551512947.000000,0.580500,6
23419726034.000000,0.585903,6
23199841661.000000,0.585519,6
22101394475.000000,0.586923,6
30354210603.000000,0.590064,5
34383241457.000000,0.592615,5
35317317612.000000,0.589204,5
35244644402.000000,0.587708,5
35308064936.000000,0.593445,5
35119915375.000000,0.594602,5
34994705706.000000,0.599320,5
34397582140.000000,0.560358,5
22639207632.000000,0.580998,6
22613206130.000000,0.589530,6
22558808462.000000,0.589211,6
22058853894.000000,0.584888,6
30264338518.000000,0.591001,5
34272771487.000000,0.591244,5
35058287962.000000,0.588932,5
34987226841.000000,0.587199,5
35183490303.000000,0.592453,5
35148807760.000000,0.594342,5
34831388476.000000,0.598093,5
34312748439.000000,0.559895,5
22628098984.000000,0.580384,6
22600668835.000000,0.587997,6
22362302029.000000,0.587121,6
